"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Grainger County, Tennessee","23,530","23,569","23,800","24,185","24,681"
" Greene County, Tennessee","70,158","70,344","70,565","71,292","72,577"
" Grundy County, Tennessee","13,528","13,543","13,587","13,779","13,955"
" Hamblen County, Tennessee","64,500","64,542","64,360","65,167","66,216"
" Hamilton County, Tennessee","366,209","367,251","369,005","374,602","379,864"
" Hancock County, Tennessee","6,661","6,627","6,794","6,846","6,956"
" Hardeman County, Tennessee","25,464","25,440","25,260","25,511","25,567"
" Hardin County, Tennessee","26,824","26,804","26,871","27,065","27,229"
" Hawkins County, Tennessee","56,724","56,721","57,202","57,903","58,600"
" Haywood County, Tennessee","17,863","17,826","17,691","17,518","17,328"
" Henderson County, Tennessee","27,834","27,824","27,906","27,907","28,070"
" Henry County, Tennessee","32,200","32,149","32,246","32,382","32,554"
" Hickman County, Tennessee","24,911","24,972","25,080","25,481","25,826"
" Houston County, Tennessee","8,288","8,308","8,298","8,247","8,393"
" Humphreys County, Tennessee","18,988","18,998","19,178","19,023","19,209"
" Jackson County, Tennessee","11,617","11,633","11,771","12,015","12,363"
" Jefferson County, Tennessee","54,682","54,916","55,547","56,660","57,838"
" Johnson County, Tennessee","17,949","17,990","18,053","18,046","18,375"
" Knox County, Tennessee","478,966","480,516","485,941","495,380","500,669"
" Lake County, Tennessee","7,009","6,995","6,596","6,500","6,347"
" Lauderdale County, Tennessee","25,139","25,123","24,878","24,741","24,610"
" Lawrence County, Tennessee","44,160","44,181","44,768","45,502","46,114"
" Lewis County, Tennessee","12,583","12,606","12,852","12,912","13,066"
" Lincoln County, Tennessee","35,320","35,331","35,435","36,006","36,169"
" Loudon County, Tennessee","54,887","55,129","56,785","58,244","60,591"
" McMinn County, Tennessee","53,270","53,343","53,921","54,695","55,678"
" McNairy County, Tennessee","25,855","25,857","25,846","25,993","26,163"
" Macon County, Tennessee","25,217","25,267","25,673","26,214","26,793"
" Madison County, Tennessee","98,833","98,832","98,557","99,172","99,193"
" Marion County, Tennessee","28,838","28,870","28,919","29,050","29,382"
" Marshall County, Tennessee","34,327","34,475","35,059","35,857","36,961"
" Maury County, Tennessee","100,969","101,826","104,942","107,996","110,760"
" Meigs County, Tennessee","12,755","12,808","13,019","13,258","13,691"
" Monroe County, Tennessee","46,248","46,394","46,649","47,680","48,594"
" Montgomery County, Tennessee","219,996","221,281","227,741","234,899","239,872"
" Moore County, Tennessee","6,468","6,470","6,651","6,716","6,748"
" Morgan County, Tennessee","21,030","21,042","21,107","21,207","21,573"
" Obion County, Tennessee","30,793","30,775","30,459","30,374","30,411"
" Overton County, Tennessee","22,509","22,590","22,831","22,993","23,327"
" Perry County, Tennessee","8,382","8,381","8,493","8,705","8,891"
" Pickett County, Tennessee","5,004","5,000","5,069","5,103","5,128"
" Polk County, Tennessee","17,544","17,566","17,714","17,778","18,033"
" Putnam County, Tennessee","79,853","80,071","81,250","82,470","83,844"
" Rhea County, Tennessee","32,873","32,938","33,189","33,689","33,924"
" Roane County, Tennessee","53,396","53,517","54,088","55,129","56,096"
" Robertson County, Tennessee","72,805","72,953","74,031","75,398","76,776"
" Rutherford County, Tennessee","341,483","343,298","351,194","360,682","367,101"
" Scott County, Tennessee","21,848","21,876","21,891","21,999","22,171"
" Sequatchie County, Tennessee","15,825","15,848","16,448","16,918","17,161"
" Sevier County, Tennessee","98,381","98,562","99,435","98,806","99,415"
" Shelby County, Tennessee","930,020","929,763","923,382","916,357","910,042"
" Smith County, Tennessee","19,913","19,971","20,169","20,470","20,538"
" Stewart County, Tennessee","13,656","13,706","13,808","13,994","14,222"
" Sullivan County, Tennessee","158,162","158,246","159,212","160,862","162,135"
" Sumner County, Tennessee","196,285","197,416","200,505","203,721","207,994"
" Tipton County, Tennessee","60,974","61,042","61,059","61,650","62,015"
" Trousdale County, Tennessee","11,609","11,635","11,605","12,077","12,271"
" Unicoi County, Tennessee","17,925","17,886","17,631","17,591","17,756"
" Union County, Tennessee","19,804","19,845","20,013","20,473","20,741"
" Van Buren County, Tennessee","6,168","6,174","6,293","6,430","6,493"
" Warren County, Tennessee","40,946","41,052","41,468","42,001","42,638"
" Washington County, Tennessee","133,003","133,219","133,460","136,147","138,420"
" Wayne County, Tennessee","16,231","16,222","16,329","16,266","16,066"
" Weakley County, Tennessee","32,903","32,903","32,883","33,043","33,084"
" White County, Tennessee","27,354","27,444","27,541","28,000","28,692"
" Williamson County, Tennessee","247,724","249,552","256,065","260,738","264,460"
" Wilson County, Tennessee","147,748","148,659","152,036","158,593","163,674"
" Anderson County, Texas","57,921","57,930","58,302","57,227","57,736"
" Andrews County, Texas","18,608","18,612","18,411","18,324","18,664"
" Angelina County, Texas","86,400","86,388","86,730","87,124","87,319"
" Aransas County, Texas","23,829","23,932","24,510","24,963","25,374"
" Archer County, Texas","8,555","8,556","8,702","8,849","9,029"
" Armstrong County, Texas","1,849","1,852","1,840","1,857","1,832"
" Atascosa County, Texas","48,977","49,128","49,817","50,736","51,784"
" Austin County, Texas","30,165","30,132","30,431","31,070","31,677"
" Bailey County, Texas","6,903","6,866","6,803","6,803","6,672"
" Bandera County, Texas","20,847","20,998","21,528","22,120","22,637"
" Bastrop County, Texas","97,218","98,057","102,276","106,395","110,778"
" Baylor County, Texas","3,467","3,463","3,458","3,462","3,463"
" Bee County, Texas","31,050","31,038","30,836","30,992","30,850"
" Bell County, Texas","370,657","372,258","380,399","387,454","393,193"
" Bexar County, Texas","2,009,316","2,015,501","2,030,981","2,060,191","2,087,679"
" Blanco County, Texas","11,375","11,449","11,882","12,411","13,048"
" Borden County, Texas","629","642","618","580","572"
" Bosque County, Texas","18,232","18,252","18,499","18,707","18,996"
" Bowie County, Texas","92,899","92,923","92,282","91,712","91,687"
" Brazoria County, Texas","372,035","373,493","379,121","388,234","398,938"
" Brazos County, Texas","233,848","234,505","237,612","241,931","244,703"
" Brewster County, Texas","9,545","9,560","9,473","9,344","9,513"
" Briscoe County, Texas","1,434","1,419","1,400","1,439","1,445"
" Brooks County, Texas","7,079","7,048","6,969","6,902","6,848"
" Brown County, Texas","38,092","38,043","38,135","38,443","38,709"
" Burleson County, Texas","17,643","17,682","18,109","18,690","19,475"
" Burnet County, Texas","49,127","49,483","51,146","52,567","53,991"
" Caldwell County, Texas","45,880","45,945","46,940","47,849","49,859"
" Calhoun County, Texas","20,105","20,064","19,782","19,682","19,696"
" Callahan County, Texas","13,705","13,747","14,098","14,247","14,374"
" Cameron County, Texas","421,020","421,480","422,636","424,911","426,710"
" Camp County, Texas","12,464","12,428","12,602","12,721","13,000"
" Carson County, Texas","5,799","5,792","5,714","5,816","5,878"
" Cass County, Texas","28,448","28,442","28,573","28,538","28,659"
" Castro County, Texas","7,373","7,334","7,366","7,287","7,227"
" Chambers County, Texas","46,562","47,019","48,727","51,309","53,876"
" Cherokee County, Texas","50,413","50,493","51,150","51,432","52,217"
" Childress County, Texas","6,668","6,661","6,787","6,841","6,788"
" Clay County, Texas","10,220","10,257","10,311","10,499","10,738"
" Cochran County, Texas","2,547","2,561","2,480","2,522","2,509"
" Coke County, Texas","3,285","3,300","3,304","3,322","3,352"
" Coleman County, Texas","7,687","7,688","7,722","7,822","7,842"
" Collin County, Texas","1,066,467","1,075,736","1,114,661","1,158,995","1,195,359"
" Collingsworth County, Texas","2,651","2,640","2,607","2,585","2,563"
" Colorado County, Texas","20,558","20,563","20,642","20,832","21,117"
" Comal County, Texas","161,493","163,659","174,977","184,749","193,928"
" Comanche County, Texas","13,592","13,630","13,805","13,921","14,050"
" Concho County, Texas","3,302","3,318","3,348","3,367","3,297"
" Cooke County, Texas","41,670","41,748","42,398","43,048","43,782"
" Coryell County, Texas","83,085","83,130","84,389","84,205","84,878"
" Cottle County, Texas","1,379","1,365","1,355","1,317","1,294"
" Crane County, Texas","4,676","4,675","4,636","4,551","4,574"
" Crockett County, Texas","3,096","3,093","3,013","2,960","2,858"
" Crosby County, Texas","5,129","5,098","5,085","4,992","4,917"
" Culberson County, Texas","2,187","2,186","2,182","2,163","2,196"
" Dallam County, Texas","7,123","7,127","7,175","7,235","7,237"
" Dallas County, Texas","2,611,481","2,610,112","2,588,235","2,601,993","2,606,358"
" Dawson County, Texas","12,459","12,474","12,367","12,176","12,004"
" Deaf Smith County, Texas","18,584","18,526","18,379","18,399","18,347"
" Delta County, Texas","5,231","5,228","5,344","5,413","5,520"
" Denton County, Texas","906,419","914,398","943,883","977,760","1,007,703"
" DeWitt County, Texas","19,819","19,833","19,949","19,754","19,929"
" Dickens County, Texas","1,769","1,758","1,734","1,736","1,711"
" Dimmit County, Texas","8,613","8,579","8,479","8,360","8,257"
" Donley County, Texas","3,261","3,279","3,361","3,289","3,214"
" Duval County, Texas","9,829","9,810","9,998","9,706","9,604"
" Eastland County, Texas","17,723","17,766","17,826","17,893","18,037"
" Ector County, Texas","165,170","165,490","160,758","161,057","164,494"
" Edwards County, Texas","1,423","1,420","1,429","1,428","1,393"
" Ellis County, Texas","192,445","194,317","203,187","212,323","222,829"
" El Paso County, Texas","865,661","866,606","867,499","867,239","869,880"
" Erath County, Texas","42,543","42,719","43,381","43,837","44,195"
" Falls County, Texas","16,968","16,960","17,113","16,956","17,286"
" Fannin County, Texas","35,661","35,801","36,723","37,075","37,571"
" Fayette County, Texas","24,433","24,471","24,690","24,934","25,474"
" Fisher County, Texas","3,673","3,678","3,675","3,626","3,612"
" Floyd County, Texas","5,397","5,370","5,292","5,239","5,090"
" Foard County, Texas","1,095","1,088","1,056","1,063","1,079"
" Fort Bend County, Texas","822,797","829,109","860,305","888,919","916,778"
" Franklin County, Texas","10,355","10,369","10,497","10,665","10,735"
" Freestone County, Texas","19,439","19,440","19,788","20,032","20,441"
" Frio County, Texas","18,386","18,412","17,543","17,716","17,987"
" Gaines County, Texas","21,597","21,699","21,878","22,140","22,523"
" Galveston County, Texas","350,684","351,590","355,560","357,387","361,744"
" Garza County, Texas","5,817","5,817","6,269","4,498","4,517"
" Gillespie County, Texas","26,726","26,748","27,293","27,501","27,733"
" Glasscock County, Texas","1,113","1,115","1,136","1,139","1,141"
" Goliad County, Texas","7,016","7,020","7,133","7,120","7,144"
" Gonzales County, Texas","19,658","19,681","19,636","19,816","19,930"
" Gray County, Texas","21,229","21,199","21,128","20,980","20,916"
" Grayson County, Texas","135,543","136,099","139,563","143,198","146,907"
" Gregg County, Texas","124,238","124,251","124,130","125,559","126,243"
" Grimes County, Texas","29,299","29,440","30,145","31,170","32,384"
" Guadalupe County, Texas","172,711","173,697","177,301","182,702","188,454"
" Hale County, Texas","32,526","32,465","32,208","31,966","31,761"
" Hall County, Texas","2,815","2,795","2,842","2,818","2,818"
" Hamilton County, Texas","8,221","8,248","8,230","8,313","8,619"
" Hansford County, Texas","5,273","5,252","5,120","5,111","5,071"
" Hardeman County, Texas","3,548","3,558","3,546","3,525","3,490"
" Hardin County, Texas","56,235","56,350","57,133","57,840","58,261"
" Harris County, Texas","4,731,122","4,734,792","4,735,517","4,781,337","4,835,125"
" Harrison County, Texas","68,832","68,801","69,527","70,038","70,895"
" Hartley County, Texas","5,375","5,349","5,393","5,228","5,145"
" Haskell County, Texas","5,413","5,433","5,375","5,376","5,385"
" Hays County, Texas","241,057","243,968","255,955","269,103","280,486"
" Hemphill County, Texas","3,384","3,365","3,324","3,225","3,189"
" Henderson County, Texas","82,147","82,403","83,653","84,490","86,158"
" Hidalgo County, Texas","870,787","872,856","879,865","888,286","898,471"
" Hill County, Texas","35,870","35,964","36,378","37,266","38,101"
" Hockley County, Texas","21,542","21,504","21,265","21,278","21,460"
" Hood County, Texas","61,598","62,057","64,293","66,394","67,774"
" Hopkins County, Texas","36,791","36,827","37,210","37,793","38,172"
" Houston County, Texas","22,072","22,062","21,962","21,943","22,066"
" Howard County, Texas","34,866","34,816","34,365","30,732","30,554"
" Hudspeth County, Texas","3,201","3,196","3,275","3,416","3,451"
" Hunt County, Texas","99,953","100,254","103,591","108,438","113,347"
" Hutchinson County, Texas","20,613","20,569","20,438","20,222","20,033"
" Irion County, Texas","1,512","1,510","1,534","1,534","1,549"
" Jack County, Texas","8,473","8,487","8,550","8,764","8,875"
" Jackson County, Texas","14,990","14,997","15,118","15,183","15,221"
" Jasper County, Texas","32,978","32,919","32,552","32,495","32,694"
" Jeff Davis County, Texas","1,998","1,984","1,959","1,906","1,856"
" Jefferson County, Texas","256,521","256,133","253,727","251,601","251,496"
" Jim Hogg County, Texas","4,835","4,846","4,790","4,774","4,720"
" Jim Wells County, Texas","38,893","38,879","38,893","38,729","38,662"
" Johnson County, Texas","180,008","180,964","187,511","195,496","202,906"
" Jones County, Texas","19,654","19,682","19,811","20,271","20,381"
" Karnes County, Texas","14,707","14,760","14,732","14,945","15,018"
" Kaufman County, Texas","145,307","147,140","158,313","172,611","185,690"
" Kendall County, Texas","44,272","44,539","46,861","49,019","50,537"
" Kenedy County, Texas","349","348","339","354","343"
" Kent County, Texas","755","763","748","744","734"
" Kerr County, Texas","52,591","52,693","53,175","53,784","53,915"
" Kimble County, Texas","4,282","4,293","4,348","4,420","4,442"
" King County, Texas","263","267","256","234","217"
" Kinney County, Texas","3,132","3,126","3,122","3,131","3,148"
" Kleberg County, Texas","31,042","30,986","30,625","30,376","30,069"
" Knox County, Texas","3,354","3,347","3,318","3,284","3,302"
" Lamar County, Texas","50,081","50,131","50,349","50,515","51,127"
" Lamb County, Texas","13,049","13,011","12,909","12,786","12,711"
" Lampasas County, Texas","21,629","21,705","22,224","22,790","23,262"
" La Salle County, Texas","6,666","6,663","6,708","6,556","6,537"
" Lavaca County, Texas","20,342","20,354","20,538","20,653","20,571"
" Lee County, Texas","17,483","17,506","17,679","17,971","18,240"
" Leon County, Texas","15,717","15,732","16,009","16,220","16,538"
" Liberty County, Texas","91,631","92,479","97,488","102,462","108,272"
" Limestone County, Texas","22,149","22,144","22,060","22,164","22,250"
" Lipscomb County, Texas","3,054","3,031","2,895","2,846","2,906"
" Live Oak County, Texas","11,333","11,349","11,386","11,541","11,584"
" Llano County, Texas","21,248","21,290","22,056","22,623","22,875"
" Loving County, Texas","63","65","54","44","43"
" Lubbock County, Texas","310,633","311,578","314,642","317,761","320,940"
" Lynn County, Texas","5,593","5,609","5,645","5,738","5,761"
" McCulloch County, Texas","7,631","7,588","7,522","7,468","7,452"
" McLennan County, Texas","260,588","261,193","263,721","266,162","268,583"
" McMullen County, Texas","599","597","592","569","568"
" Madison County, Texas","13,462","13,461","13,512","13,641","13,742"
" Marion County, Texas","9,727","9,752","9,620","9,550","9,571"
" Martin County, Texas","5,238","5,252","5,214","5,228","5,216"
" Mason County, Texas","3,951","3,968","3,929","3,978","3,931"
" Matagorda County, Texas","36,254","36,287","36,339","36,122","36,359"
" Maverick County, Texas","57,884","57,875","57,683","57,628","57,762"
" Medina County, Texas","50,746","50,952","52,328","53,657","54,797"
" Menard County, Texas","1,963","1,960","1,968","1,979","1,958"
" Midland County, Texas","169,986","170,362","168,257","172,019","177,108"
" Milam County, Texas","24,747","24,774","25,212","25,622","25,951"
" Mills County, Texas","4,453","4,446","4,489","4,498","4,548"
" Mitchell County, Texas","8,990","9,009","9,042","8,938","9,075"
" Montague County, Texas","19,967","19,999","20,437","21,079","21,598"
" Montgomery County, Texas","620,460","625,291","650,755","679,554","711,354"
" Moore County, Texas","21,358","21,264","21,136","21,094","21,190"
" Morris County, Texas","11,974","11,976","12,007","12,052","12,066"
" Motley County, Texas","1,061","1,061","1,071","1,034","1,020"
" Nacogdoches County, Texas","64,646","64,616","64,778","64,994","65,375"
" Navarro County, Texas","52,623","52,838","53,637","54,687","55,635"
" Newton County, Texas","12,217","12,158","12,212","12,041","12,039"
" Nolan County, Texas","14,734","14,721","14,605","14,460","14,306"
" Nueces County, Texas","353,175","353,398","353,292","351,590","352,289"
" Ochiltree County, Texas","10,015","9,955","9,768","9,692","9,704"
" Oldham County, Texas","1,758","1,763","1,734","1,761","1,783"
" Orange County, Texas","84,810","84,754","84,666","85,048","85,722"
" Palo Pinto County, Texas","28,413","28,452","28,742","29,322","29,747"
" Panola County, Texas","22,496","22,499","22,556","22,742","22,838"
" Parker County, Texas","148,220","149,552","157,088","165,938","173,494"
" Parmer County, Texas","9,870","9,854","9,784","9,649","9,617"
" Pecos County, Texas","15,198","15,187","15,117","14,711","14,623"
" Polk County, Texas","50,125","50,503","51,877","53,256","54,186"
" Potter County, Texas","118,522","118,275","116,461","114,911","114,647"
" Presidio County, Texas","6,133","6,108","6,113","5,954","5,795"
" Rains County, Texas","12,151","12,175","12,463","12,836","12,986"
" Randall County, Texas","140,755","141,347","144,055","146,244","148,255"
" Reagan County, Texas","3,385","3,380","3,222","3,121","3,141"
" Real County, Texas","2,759","2,751","2,817","2,832","2,854"
" Red River County, Texas","11,589","11,561","11,561","11,605","11,678"
" Reeves County, Texas","14,743","14,768","12,981","11,692","11,770"
" Refugio County, Texas","6,744","6,748","6,704","6,638","6,666"
" Roberts County, Texas","828","822","801","812","840"
" Robertson County, Texas","16,753","16,766","16,946","17,130","17,267"
" Rockwall County, Texas","107,844","109,158","116,612","123,342","131,307"
" Runnels County, Texas","9,898","9,919","9,892","9,884","9,868"
" Rusk County, Texas","52,215","52,252","52,695","52,524","53,079"
" Sabine County, Texas","9,896","9,892","10,013","10,041","10,106"
" San Augustine County, Texas","7,919","7,921","7,905","7,860","7,833"
" San Jacinto County, Texas","27,397","27,533","27,811","28,340","28,936"
" San Patricio County, Texas","68,754","68,841","69,767","70,087","70,660"
" San Saba County, Texas","5,724","5,727","5,829","5,880","5,845"
" Schleicher County, Texas","2,448","2,439","2,438","2,359","2,391"
" Scurry County, Texas","16,933","16,942","16,837","16,269","16,212"
" Shackelford County, Texas","3,107","3,110","3,191","3,212","3,229"
" Shelby County, Texas","24,018","23,924","23,984","24,061","24,179"
" Sherman County, Texas","2,781","2,789","2,789","2,778","2,678"
" Smith County, Texas","233,484","234,199","237,182","241,995","245,209"
" Somervell County, Texas","9,205","9,205","9,477","9,797","9,888"
" Starr County, Texas","65,921","65,867","65,858","65,653","65,934"
" Stephens County, Texas","9,098","9,093","9,433","9,377","9,343"
" Sterling County, Texas","1,370","1,382","1,380","1,426","1,397"
" Stonewall County, Texas","1,244","1,243","1,211","1,218","1,218"
" Sutton County, Texas","3,373","3,356","3,291","3,232","3,221"
" Swisher County, Texas","6,972","6,946","7,007","6,959","6,955"
" Tarrant County, Texas","2,110,623","2,115,840","2,129,695","2,155,646","2,182,947"
" Taylor County, Texas","143,203","143,454","143,922","145,147","146,836"
" Terrell County, Texas","760","750","721","688","687"
" Terry County, Texas","11,831","11,793","11,714","11,444","11,547"
" Throckmorton County, Texas","1,441","1,451","1,503","1,539","1,526"
" Titus County, Texas","31,241","31,291","31,260","31,237","31,357"
" Tom Green County, Texas","120,007","120,195","119,231","118,913","119,057"
" Travis County, Texas","1,290,218","1,296,613","1,308,868","1,327,550","1,334,961"
" Trinity County, Texas","13,602","13,634","13,832","13,993","14,228"
" Tyler County, Texas","19,798","19,810","19,898","20,411","20,382"
" Upshur County, Texas","40,894","41,046","41,835","42,454","43,281"
" Upton County, Texas","3,306","3,299","3,233","3,146","3,109"
" Uvalde County, Texas","24,575","24,571","24,803","24,890","24,960"
" Val Verde County, Texas","47,585","47,605","47,533","47,617","47,720"
" Van Zandt County, Texas","59,543","59,758","61,253","62,888","64,000"
" Victoria County, Texas","91,322","91,311","90,896","91,074","91,664"
" Walker County, Texas","76,406","76,553","78,348","79,678","81,268"
" Waller County, Texas","56,751","57,285","59,419","61,852","63,553"
" Ward County, Texas","11,640","11,674","11,081","10,948","10,966"
" Washington County, Texas","35,802","35,804","35,947","36,368","37,007"
" Webb County, Texas","267,113","267,363","267,400","267,619","269,148"
" Wharton County, Texas","41,571","41,564","41,652","41,740","41,739"
" Wheeler County, Texas","4,988","4,977","4,886","4,787","4,804"
" Wichita County, Texas","129,361","129,620","130,073","130,220","130,180"
" Wilbarger County, Texas","12,888","12,842","12,703","12,535","12,522"
" Willacy County, Texas","20,164","20,148","20,292","20,254","20,037"
" Williamson County, Texas","609,006","615,552","644,595","672,273","697,191"
" Wilson County, Texas","49,753","50,052","51,307","52,754","54,183"
" Winkler County, Texas","7,791","7,754","7,382","7,300","7,414"
" Wise County, Texas","68,631","68,947","71,871","74,897","78,097"
" Wood County, Texas","44,849","45,037","46,076","46,930","47,921"
" Yoakum County, Texas","7,694","7,675","7,563","7,484","7,468"
" Young County, Texas","17,868","17,849","17,943","18,012","18,124"
" Zapata County, Texas","13,887","13,875","13,875","13,838","13,736"
" Zavala County, Texas","9,668","9,661","9,473","9,384","9,312"
" Beaver County, Utah","7,069","7,083","7,213","7,317","7,233"
" Box Elder County, Utah","57,664","57,946","59,685","61,523","62,684"
" Cache County, Utah","133,158","133,631","137,458","140,145","142,393"
" Carbon County, Utah","20,416","20,487","20,360","20,540","20,609"
" Daggett County, Utah","936","952","982","1,015","992"
" Davis County, Utah","362,695","363,771","367,504","369,887","373,207"
" Duchesne County, Utah","19,604","19,620","19,792","20,142","20,477"
" Emery County, Utah","9,826","9,847","9,965","10,093","10,144"
" Garfield County, Utah","5,086","5,103","5,126","5,258","5,314"
" Grand County, Utah","9,664","9,674","9,671","9,771","9,706"
" Iron County, Utah","57,286","57,713","60,520","62,508","64,211"
" Juab County, Utah","11,778","11,819","12,205","12,586","13,023"
" Kane County, Utah","7,666","7,693","7,985","8,203","8,425"
" Millard County, Utah","12,985","13,060","13,192","13,343","13,437"
" Morgan County, Utah","12,294","12,382","12,662","12,837","13,000"
" Piute County, Utah","1,444","1,440","1,492","1,493","1,550"
" Rich County, Utah","2,513","2,505","2,600","2,649","2,670"
" Salt Lake County, Utah","1,185,230","1,186,983","1,186,312","1,186,569","1,185,813"
" San Juan County, Utah","14,513","14,521","14,498","14,406","14,358"
" Sanpete County, Utah","28,437","28,526","29,124","29,691","30,277"
" Sevier County, Utah","21,508","21,554","21,894","22,043","22,344"
" Summit County, Utah","42,367","42,489","43,179","43,045","42,759"
" Tooele County, Utah","72,709","73,355","76,775","79,955","82,051"
" Uintah County, Utah","35,612","35,672","36,229","37,104","37,747"
" Utah County, Utah","659,394","663,595","685,973","702,692","719,174"
" Wasatch County, Utah","34,782","35,055","36,246","36,597","37,144"
" Washington County, Utah","180,275","182,015","191,513","197,730","202,452"
" Wayne County, Utah","2,485","2,503","2,560","2,634","2,614"
" Weber County, Utah","262,218","262,988","266,569","269,460","271,926"
" Addison County, Vermont","37,365","37,355","37,408","37,555","37,720"
" Bennington County, Vermont","37,342","37,301","37,431","37,343","37,183"
" Caledonia County, Vermont","30,232","30,182","30,457","30,587","30,610"
" Chittenden County, Vermont","168,321","168,395","169,338","169,357","169,481"
" Essex County, Vermont","5,920","5,920","5,970","5,997","6,010"
" Franklin County, Vermont","49,951","50,046","50,430","50,719","50,994"
" Grand Isle County, Vermont","7,291","7,276","7,428","7,490","7,467"
" Lamoille County, Vermont","25,945","25,924","26,149","26,103","26,060"
" Orange County, Vermont","29,283","29,295","29,630","29,880","29,943"
" Orleans County, Vermont","27,401","27,403","27,591","27,562","27,516"
" Rutland County, Vermont","60,574","60,484","60,728","60,353","60,271"
" Washington County, Vermont","59,800","59,757","60,033","60,115","60,142"
" Windham County, Vermont","45,915","45,860","46,150","45,899","45,966"
" Windsor County, Vermont","57,737","57,738","58,350","58,150","58,101"
" Accomack County, Virginia","33,418","33,392","33,410","33,223","33,239"
" Albemarle County, Virginia","112,395","112,510","113,882","114,845","115,676"
" Alleghany County, Virginia","15,211","15,180","14,988","14,715","14,595"
" Amelia County, Virginia","13,260","13,267","13,306","13,368","13,480"
" Amherst County, Virginia","31,310","31,312","31,385","31,472","31,396"
" Appomattox County, Virginia","16,116","16,154","16,398","16,703","16,864"
" Arlington County, Virginia","238,642","238,814","233,436","233,678","234,162"
" Augusta County, Virginia","77,485","77,574","77,764","77,939","78,247"
" Bath County, Virginia","4,204","4,185","4,090","4,061","4,051"
" Bedford County, Virginia","79,465","79,559","80,242","80,741","81,525"
" Bland County, Virginia","6,273","6,256","6,177","6,138","6,179"
" Botetourt County, Virginia","33,595","33,643","33,998","34,100","34,125"
" Brunswick County, Virginia","15,846","15,822","15,959","15,831","15,749"
" Buchanan County, Virginia","20,343","20,245","19,876","19,383","19,087"
" Buckingham County, Virginia","16,831","16,828","16,950","16,988","16,978"
" Campbell County, Virginia","55,699","55,639","55,344","55,065","55,270"
" Caroline County, Virginia","30,881","30,921","31,405","31,940","32,640"
" Carroll County, Virginia","29,158","29,148","29,098","29,118","29,239"
" Charles City County, Virginia","6,771","6,746","6,608","6,568","6,610"
" Charlotte County, Virginia","11,533","11,542","11,499","11,400","11,336"
" Chesterfield County, Virginia","364,061","365,311","370,931","378,290","383,876"
" Clarke County, Virginia","14,787","14,814","14,940","15,331","15,466"
" Craig County, Virginia","4,892","4,875","4,886","4,858","4,843"
" Culpeper County, Virginia","52,550","52,768","53,772","54,290","54,973"
" Cumberland County, Virginia","9,676","9,666","9,703","9,751","9,878"
" Dickenson County, Virginia","14,128","14,074","13,860","13,733","13,640"
" Dinwiddie County, Virginia","27,941","27,891","27,997","28,099","28,343"
" Essex County, Virginia","10,600","10,598","10,571","10,630","10,598"
" Fairfax County, Virginia","1,150,294","1,148,627","1,142,203","1,139,309","1,141,878"
" Fauquier County, Virginia","72,964","73,006","74,055","74,677","75,165"
" Floyd County, Virginia","15,475","15,470","15,510","15,623","15,679"
" Fluvanna County, Virginia","27,252","27,294","27,797","28,117","28,462"
" Franklin County, Virginia","54,467","54,482","55,017","55,079","55,549"
" Frederick County, Virginia","91,418","91,870","93,959","94,808","95,994"
" Giles County, Virginia","16,792","16,786","16,572","16,432","16,457"
" Gloucester County, Virginia","38,715","38,722","39,174","39,550","40,057"
" Goochland County, Virginia","24,730","24,855","25,529","26,162","27,197"
" Grayson County, Virginia","15,336","15,281","15,344","15,325","15,285"
" Greene County, Virginia","20,554","20,607","21,004","21,015","21,301"
" Greensville County, Virginia","11,391","11,386","11,413","11,204","11,133"
" Halifax County, Virginia","34,024","33,926","33,777","33,620","33,432"
" Hanover County, Virginia","109,977","110,202","111,783","112,860","114,148"
" Henrico County, Virginia","334,931","334,905","334,422","334,553","334,760"
" Henry County, Virginia","50,949","50,851","50,262","49,795","49,702"
" Highland County, Virginia","2,232","2,240","2,239","2,296","2,339"
" Isle of Wight County, Virginia","38,611","38,707","39,391","40,135","40,711"
" James City County, Virginia","78,253","78,487","79,991","81,483","82,654"
" King and Queen County, Virginia","6,606","6,588","6,669","6,714","6,720"
" King George County, Virginia","26,724","26,826","27,541","27,918","28,568"
" King William County, Virginia","17,811","17,918","18,243","18,529","19,030"
" Lancaster County, Virginia","10,923","10,903","10,935","10,806","10,859"
" Lee County, Virginia","22,172","22,108","22,005","21,847","21,745"
" Loudoun County, Virginia","420,957","422,705","428,764","432,792","436,347"
" Louisa County, Virginia","37,597","37,796","39,016","40,030","41,037"
" Lunenburg County, Virginia","11,936","11,947","12,001","12,002","12,038"
" Madison County, Virginia","13,841","13,861","13,957","14,008","14,128"
" Mathews County, Virginia","8,533","8,518","8,543","8,450","8,514"
" Mecklenburg County, Virginia","30,315","30,283","30,333","30,527","30,648"
" Middlesex County, Virginia","10,625","10,614","10,779","10,952","10,924"
" Montgomery County, Virginia","99,719","99,574","98,788","98,826","98,666"
" Nelson County, Virginia","14,772","14,740","14,838","14,747","14,705"
" New Kent County, Virginia","22,944","23,123","23,963","24,952","26,134"
" Northampton County, Virginia","12,281","12,213","12,068","11,978","12,021"
" Northumberland County, Virginia","11,839","11,841","12,052","12,278","12,391"
" Nottoway County, Virginia","15,649","15,647","15,574","15,555","15,566"
